sample_id,model_key,model_name,model_display_name,model_version,benchmark,run_label,candidate_index,entry_point,code,compiled_ok,tests_passed,functional_correctness,error_type,base_status,plus_status,base_passed,base_total,plus_passed,plus_total
HumanEval/152,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,compare,"def compare(game, guess):
    assert type(game) == list and type(guess) == list, ""invalid inputs""
    assert all(type(x) == int for x in game), ""invalid inputs""
    assert all(type(x) == int for x in guess), ""invalid inputs""
    assert len(game) == len(guess), ""invalid inputs""
    return [abs(g - h) for g, h in zip(game, guess)]",True,True,True,,pass,pass,4,4,1000,1000
HumanEval/153,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,Strongest_Extension,"def Strongest_Extension(class_name, extensions):
    best_ext = extensions[0]
    best_strength = sum(1 if c.isupper() else -1 if c.islower() else 0 for c in best_ext)

    for ext in extensions[1:]:
        strength = sum(1 if c.isupper() else -1 if c.islower() else 0 for c in ext)
        if strength > best_strength:
            best_strength = strength
            best_ext = ext

    return f""{class_name}.{best_ext}""",True,True,True,,pass,pass,9,9,194,194
HumanEval/154,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,cycpattern_check,"def cycpattern_check(a, b):
    assert isinstance(a, str) and isinstance(b, str), ""invalid inputs""
    if b == """":
        return True
    if len(b) > len(a):
        return False
    bb = b + b
    n = len(b)
    for i in range(n):
        if bb[i:i + n] in a:
            return True
    return False",True,True,True,,pass,pass,6,6,1000,1000
HumanEval/155,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,even_odd_count,"def even_odd_count(num):
    assert type(num) == int, ""invalid inputs""
    n = abs(num)
    if n == 0:
        return (1, 0)
    even = odd = 0
    while n:
        d = n % 10
        if d % 2 == 0:
            even += 1
        else:
            odd += 1
        n //= 10
    return (even, odd)",True,True,True,,pass,pass,8,8,249,249
HumanEval/156,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,int_to_mini_roman,"def int_to_mini_roman(number):
    assert type(number) == int, ""invalid inputs""  # $_CONTRACT_$
    assert 1 <= number <= 1000, ""invalid inputs""  # $_CONTRACT_$

    values = [
        (1000, ""M""),
        (900, ""CM""),
        (500, ""D""),
        (400, ""CD""),
        (100, ""C""),
        (90, ""XC""),
        (50, ""L""),
        (40, ""XL""),
        (10, ""X""),
        (9, ""IX""),
        (5, ""V""),
        (4, ""IV""),
        (1, ""I""),
    ]

    n = number
    out = []
    for v, s in values:
        if n <= 0:
            break
        q, n = divmod(n, v)
        if q:
            out.append(s * q)

    return """".join(out).lower()",True,True,True,,pass,pass,14,14,206,206
HumanEval/157,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,right_angle_triangle,"def right_angle_triangle(a, b, c):
    assert type(a) in [int, float] and type(b) in [int, float] and type(c) in [int, float], ""invalid inputs""
    assert a > 0 and b > 0 and c > 0, ""invalid inputs""

    sides = sorted([float(a), float(b), float(c)])
    x, y, z = sides

    if x + y <= z:
        return False

    eps = 1e-9
    return abs((x * x + y * y) - (z * z)) <= eps * max(1.0, z * z)",True,True,True,,pass,pass,11,11,1000,1000
HumanEval/158,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,find_max,"def find_max(words):
    best_word = None
    best_unique = -1
    for w in words:
        u = len(set(w))
        if u > best_unique:
            best_unique = u
            best_word = w
        elif u == best_unique:
            if w < best_word:
                best_word = w
    return best_word",True,True,True,,pass,pass,10,10,897,897
HumanEval/159,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,eat,"def eat(number, need, remaining):
    assert type(number) == int and type(need) == int and type(remaining) == int, ""invalid inputs""
    assert 0 <= number <= 1000, ""invalid inputs""
    assert 0 <= need <= 1000, ""invalid inputs""
    assert 0 <= remaining <= 1000, ""invalid inputs""

    eaten = need if need <= remaining else remaining
    return [number + eaten, remaining - eaten]",True,True,True,,pass,pass,6,6,976,976
HumanEval/16,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,count_distinct_characters,"def count_distinct_characters(string: str) -> int:
    assert isinstance(string, str), ""invalid inputs""  # $_CONTRACT_$
    return len(set(string.casefold()))",True,True,True,,pass,pass,5,5,1000,1000
HumanEval/160,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,do_algebra,"def do_algebra(operator, operand):
    assert type(operator) == list and type(operand) == list, ""invalid inputs""
    assert len(operator) >= 1, ""invalid inputs""
    assert len(operand) == len(operator) + 1, ""invalid inputs""
    assert all(type(x) == int and x >= 0 for x in operand), ""invalid inputs""
    assert all(sgn in [""+"", ""-"", ""*"", ""//"", ""**""] for sgn in operator), ""invalid inputs""
    assert not any([operand[i] == 0 and operator[i-1] == ""//"" for i in range(1, len(operand))]), ""invalid inputs""

    expr = str(operand[0])
    for op, val in zip(operator, operand[1:]):
        expr += op + str(val)
    return eval(expr)",True,True,True,,pass,pass,3,3,449,449
HumanEval/161,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,solve,"def solve(s):
    assert isinstance(s, str), ""invalid inputs""
    has_letter = any(c.isalpha() for c in s)
    if not has_letter:
        return s[::-1]
    return """".join(c.swapcase() if c.isalpha() else c for c in s)",True,True,True,,pass,pass,8,8,983,983
HumanEval/162,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,string_to_md5,"import hashlib

def string_to_md5(text):
    assert isinstance(text, str), ""invalid inputs""
    if text == """":
        return None
    return hashlib.md5(text.encode(""utf-8"")).hexdigest()",True,True,True,,pass,pass,4,4,1000,1000
HumanEval/163,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,generate_integers,"def generate_integers(a, b):
    assert type(a) == int and type(b) == int, ""invalid inputs""  # $_CONTRACT_$
    assert a > 0 and b > 0, ""invalid inputs""  # $_CONTRACT_$

    lo, hi = (a, b) if a <= b else (b, a)
    evens = [2, 4, 6, 8]
    return [d for d in evens if lo <= d <= hi]",True,True,True,,pass,pass,4,4,982,982
HumanEval/17,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,parse_music,"from typing import List

def parse_music(music_string: str) -> List[int]:
    assert isinstance(music_string, str), ""invalid inputs""  # $_CONTRACT_$
    assert music_string == """" or all(map(lambda x: x in [""o"", ""o|"", "".|""], music_string.split("" ""))), ""invalid inputs""  # $_CONTRACT_$
    if music_string == """":
        return []
    mapping = {""o"": 4, ""o|"": 2, "".|"": 1}
    return [mapping[token] for token in music_string.split("" "")]",True,True,True,,pass,pass,5,5,215,215
HumanEval/18,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,how_many_times,"def how_many_times(string: str, substring: str) -> int:
    assert isinstance(string, str) and isinstance(substring, str), ""invalid inputs""  # $_CONTRACT_$
    assert substring != """", ""invalid inputs""  # $_CONTRACT_$
    count = 0
    start = 0
    while True:
        idx = string.find(substring, start)
        if idx == -1:
            break
        count += 1
        start = idx + 1
    return count",True,True,True,,pass,pass,4,4,1000,1000
HumanEval/19,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,sort_numbers,"from typing import List

def sort_numbers(numbers: str) -> str:
    mapping = {
        ""zero"": 0,
        ""one"": 1,
        ""two"": 2,
        ""three"": 3,
        ""four"": 4,
        ""five"": 5,
        ""six"": 6,
        ""seven"": 7,
        ""eight"": 8,
        ""nine"": 9,
    }
    if numbers == """":
        return """"
    parts = numbers.split("" "")
    parts.sort(key=mapping.__getitem__)
    return "" "".join(parts)",True,True,True,,pass,pass,5,5,128,128
HumanEval/2,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,truncate_number,"import math

def truncate_number(number: float) -> float:
    assert number > 0, ""invalid inputs""
    assert isinstance(number, float), ""invalid inputs""
    assert number != float(""+inf""), ""invalid inputs""
    return number - math.floor(number)",True,True,True,,pass,pass,3,3,971,971
HumanEval/20,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,find_closest_elements,"from typing import List, Tuple

def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    assert all(type(x) in [int, float] for x in numbers), ""invalid inputs""
    assert len(numbers) >= 2, ""invalid inputs""

    nums = sorted(float(x) for x in numbers)
    best_pair = (nums[0], nums[1])
    best_diff = abs(nums[1] - nums[0])

    for i in range(1, len(nums) - 1):
        a, b = nums[i], nums[i + 1]
        d = b - a
        if d < best_diff:
            best_diff = d
            best_pair = (a, b)

    return best_pair",True,True,True,,pass,pass,5,5,1000,1000
HumanEval/21,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,rescale_to_unit,"from typing import List

def rescale_to_unit(numbers: List[float]) -> List[float]:
    assert all(type(x) in [int, float] for x in numbers), ""invalid inputs""  # $_CONTRACT_$
    assert len(numbers) >= 2, ""invalid inputs""  # $_CONTRACT_$
    mn = min(numbers)
    mx = max(numbers)
    assert mx > mn, ""invalid inputs""  # $_CONTRACT_$
    denom = mx - mn
    return [(x - mn) / denom for x in numbers]",True,True,True,,pass,pass,5,5,999,999
HumanEval/22,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,filter_integers,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    assert type(values) == list, ""invalid inputs""
    return [v for v in values if type(v) is int]",True,True,True,,pass,pass,3,3,953,953
HumanEval/23,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,strlen,"def strlen(string: str) -> int:
    assert isinstance(string, str), ""invalid inputs""
    return len(string)",True,True,True,,pass,pass,3,3,964,964
HumanEval/24,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,largest_divisor,"def largest_divisor(n: int) -> int:
    assert type(n) == int, ""invalid inputs""  # $_CONTRACT_$
    assert n > 1, ""invalid inputs""  # $_CONTRACT_$

    if n % 2 == 0:
        return n // 2

    i = 3
    while i * i <= n:
        if n % i == 0:
            return n // i
        i += 2

    return 1",True,True,True,,pass,pass,5,5,168,168
HumanEval/25,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,factorize,"from typing import List

def factorize(n: int) -> List[int]:
    assert type(n) == int, ""invalid inputs""
    assert n >= 2, ""invalid inputs""

    factors: List[int] = []

    while n % 2 == 0:
        factors.append(2)
        n //= 2

    d = 3
    while d * d <= n:
        while n % d == 0:
            factors.append(d)
            n //= d
        d += 2

    if n > 1:
        factors.append(n)

    return factors",True,True,True,,pass,pass,8,8,138,138
HumanEval/26,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,remove_duplicates,"from typing import List
from collections import Counter

def remove_duplicates(numbers: List[int]) -> List[int]:
    assert type(numbers) == list, ""invalid inputs""  # $_CONTRACT_$
    assert all(type(x) == int for x in numbers), ""invalid inputs""  # $_CONTRACT_$
    counts = Counter(numbers)
    return [x for x in numbers if counts[x] == 1]",True,True,True,,pass,pass,3,3,862,862
HumanEval/27,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,flip_case,"def flip_case(string: str) -> str:
    assert type(string) == str, ""invalid inputs""  # $_CONTRACT_$
    return string.swapcase()",True,True,True,,pass,pass,3,3,973,973
HumanEval/28,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,concatenate,"from typing import List

def concatenate(strings: List[str]) -> str:
    assert isinstance(strings, list), ""invalid inputs""
    assert all(isinstance(s, str) for s in strings), ""invalid inputs""
    return """".join(strings)",True,True,True,,pass,pass,3,3,861,861
HumanEval/29,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,filter_by_prefix,"from typing import List

def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    assert all(isinstance(s, str) for s in strings), ""invalid inputs""
    assert isinstance(prefix, str), ""invalid inputs""
    return [s for s in strings if s.startswith(prefix)]",True,True,True,,pass,pass,2,2,996,996
HumanEval/3,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,below_zero,"from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False",True,True,True,,pass,pass,6,6,898,898
HumanEval/30,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,get_positive,"def get_positive(l: list):
    assert type(l) == list, ""invalid inputs""
    return [x for x in l if isinstance(x, (int, float)) and not isinstance(x, bool) and x > 0]",True,False,False,failed_tests,pass,fail,4,4,993,999
HumanEval/31,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,is_prime,"def is_prime(n):
    assert type(n) == int, ""invalid inputs""
    if n < 2:
        return False
    if n in (2, 3):
        return True
    if n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    step = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += step
        step = 6 - step
    return True",True,True,True,,pass,pass,13,13,154,154
HumanEval/32,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,find_zero,"import math

def poly(xs: list, x: float):
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    assert isinstance(xs, list) and len(xs) > 0 and len(xs) % 2 == 0, ""invalid inputs""
    assert xs[-1] != 0, ""invalid inputs""
    assert all(type(x) == int for x in xs), ""invalid inputs""

    dxs = [xs[i] * i for i in range(1, len(xs))]

    def func(x):
        return poly(xs, x)

    def derivative(x):
        return poly(dxs, x)

    tol = 1e-5

    def safe_eval(x):
        try:
            v = func(x)
        except OverflowError:
            return float(""inf"")
        if math.isnan(v):
            return float(""inf"")
        return v

    def safe_deriv(x):
        try:
            v = derivative(x)
        except OverflowError:
            return float(""inf"")
        if math.isnan(v):
            return float(""inf"")
        return v

    def bisect(a, b, fa, fb):
        for _ in range(2000):
            m = (a + b) / 2.0
            fm = safe_eval(m)
            if abs(fm) < tol:
                return m
            if fa == 0.0:
                return a
            if fb == 0.0:
                return b
            if fa * fm <= 0:
                b, fb = m, fm
            else:
                a, fa = m, fm
            if abs(b - a) < 1e-12:
                return (a + b) / 2.0
        return (a + b) / 2.0

    def bracket_root():
        # Even degree with nonzero leading coefficient implies same sign at +/-inf, so real root exists.
        # Find a local extremum where function is on the opposite side of the sign at infinity.
        lead = xs[-1]
        sign_inf = 1 if lead > 0 else -1

        # Try Newton on derivative from multiple seeds to find a stationary point.
        seeds = [0.0, 1.0, -1.0, 2.0, -2.0, 4.0, -4.0, 8.0, -8.0, 16.0, -16.0, 32.0, -32.0]
        best_x = None
        best_val = float(""inf"")

        for s in seeds:
            x = s
            for _ in range(80):
                g = safe_deriv(x)
                if not math.isfinite(g):
                    break
                dg = poly([dxs[i] * i for i in range(1, len(dxs))], x) if len(dxs) > 1 else 0.0
                if not math.isfinite(dg) or abs(dg) < 1e-14:
                    break
                step = g / dg
                if not math.isfinite(step):
                    break
                x -= step
                if abs(step) < 1e-10:
                    break
            v = safe_eval(x)
            if math.isfinite(v) and abs(v) < best_val:
                best_val = abs(v)
                best_x = x

        # If we didn't find a good stationary point, just use x=0 as center.
        if best_x is None or not math.isfinite(best_x):
            best_x = 0.0

        center = best_x
        fc = safe_eval(center)

        # Ensure center is on opposite side of sign at infinity, else move to find such a point.
        def side(v):
            if v > 0:
                return 1
            if v < 0:
                return -1
            return 0

        if side(fc) == 0:
            return (center - 1.0, center + 1.0)

        if side(fc) == sign_inf:
            # Move along both directions to find point with opposite sign.
            step = 1.0
            for _ in range(200):
                for direction in (-1.0, 1.0):
                    x = center + direction * step
                    fx = safe_eval(x)
                    if side(fx) == 0:
                        return (x, x)
                    if side(fx) == -sign_inf:
                        # We have opposite sign at x compared to infinity, now bracket with far point
                        # where function has sign_inf.
                        far_step = step
                        far = x
                        ffar = fx
                        while side(ffar) != sign_inf and far_step < 2**60:
                            far_step *= 2.0
                            far = center + direction * far_step
                            ffar = safe_eval(far)
                            if side(ffar) == 0:
                                return (far, far)
                        if side(ffar) == sign_inf:
                            return (x, far) if x < far else (far, x)
                step *= 2.0

        # As a fallback, attempt to find any sign change by expanding from center
        a = center
        fa = fc
        step = 1.0
        for _ in range(300):
            b1 = center - step
            f1 = safe_eval(b1)
            if side(f1) == 0:
                return (b1, b1)
            b2 = center + step
            f2 = safe_eval(b2)
            if side(f2) == 0:
                return (b2, b2)
            if math.isfinite(f1) and math.isfinite(fa) and f1 * fa <= 0:
                return (b1, a) if b1 < a else (a, b1)
            if math.isfinite(f2) and math.isfinite(fa) and f2 * fa <= 0:
                return (a, b2) if a < b2 else (b2, a)
            step *= 2.0

        # Last resort: try broad range
        return (-1.0, 1.0)

    # First, try Newton from x=0 with safeguards; if fails, use bracketing + bisection.
    x = 0.0
    for _ in range(200):
        fx = safe_eval(x)
        if abs(fx) < tol:
            return x
        dfx = safe_deriv(x)
        if not math.isfinite(dfx) or abs(dfx) < 1e-12:
            break
        step = fx / dfx
        if not math.isfinite(step):
            break
        x_new = x - step
        if not math.isfinite(x_new):
            break
        # Damping if it doesn't improve
        fx_new = safe_eval(x_new)
        if not math.isfinite(fx_new) or abs(fx_new) > abs(fx):
            lam = 0.5
            improved = False
            for _ in range(40):
                xt = x - lam * step
                fxt = safe_eval(xt)
                if math.isfinite(fxt) and abs(fxt) < abs(fx):
                    x_new = xt
                    fx_new = fxt
                    improved = True
                    break
                lam *= 0.5
            if not improved:
                break
        x = x_new

    a, b = bracket_root()
    fa = safe_eval(a)
    fb = safe_eval(b)
    if a == b:
        return a
    if fa == 0.0:
        return a
    if fb == 0.0:
        return b
    if not (math.isfinite(fa) and math.isfinite(fb)) or fa * fb > 0:
        # Expand to find sign change
        center = (a + b) / 2.0
        step = max(1.0, abs(b - a))
        fa = safe_eval(center - step)
        fb = safe_eval(center + step)
        a = center - step
        b = center + step
        for _ in range(400):
            if math.isfinite(fa) and math.isfinite(fb) and fa * fb <= 0:
                break
            step *= 2.0
            a = center - step
            b = center + step
            fa = safe_eval(a)
            fb = safe_eval(b)
            if step > 2**60:
                break

    root = bisect(a, b, fa, fb)
    return root",True,False,False,failed_tests,fail,fail,0,100,0,788
HumanEval/33,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,sort_third,"def sort_third(l: list):
    assert type(l) == list, ""invalid inputs""
    res = list(l)
    idxs = list(range(0, len(l), 3))
    vals = sorted(l[i] for i in idxs)
    for i, v in zip(idxs, vals):
        res[i] = v
    return res",True,True,True,,pass,pass,10,10,955,955
HumanEval/34,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,unique,"def unique(l: list):
    assert type(l) == list, ""invalid inputs""  # $_CONTRACT_$
    try:
        return sorted(set(l))
    except TypeError:
        seen = []
        for x in l:
            if not any(x == y for y in seen):
                seen.append(x)
        return sorted(seen)",True,True,True,,pass,pass,1,1,903,903
HumanEval/35,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,max_element,"def max_element(l: list):
    assert type(l) == list, ""invalid inputs""
    assert len(l) != 0, ""invalid inputs""
    assert all(type(x) in [int, float] for x in l), ""invalid inputs""

    m = l[0]
    for x in l[1:]:
        if x > m:
            m = x
    return m",True,True,True,,pass,pass,2,2,938,938
HumanEval/36,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,fizz_buzz,"def fizz_buzz(n: int):
    assert type(n) == int and n > 0, ""invalid inputs""
    count = 0
    for x in range(n):
        if x % 11 == 0 or x % 13 == 0:
            count += str(x).count(""7"")
    return count",True,True,True,,pass,pass,8,8,148,148
HumanEval/37,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,sort_even,"def sort_even(l: list):
    assert type(l) == list, ""invalid inputs""  # $_CONTRACT_$
    assert all(type(x) in [int, float] for x in l), ""invalid inputs""  # $_CONTRACT_$
    evens = sorted(l[0::2])
    res = list(l)
    res[0::2] = evens
    return res",True,True,True,,pass,pass,3,3,974,974
HumanEval/38,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,decode_cyclic,"def decode_cyclic(s: str):
    """"""
    takes as input string encoded with encode_cyclic function. Returns decoded string.
    """"""
    assert isinstance(s, str), ""invalid inputs""  # $_CONTRACT_$
    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    groups = [(group[-1] + group[:-1]) if len(group) == 3 else group for group in groups]
    return """".join(groups)",True,True,True,,pass,pass,100,100,999,999
HumanEval/39,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,prime_fib,"import math

def _is_probable_prime(n: int) -> bool:
    if n < 2:
        return False
    small_primes = (2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37)
    for p in small_primes:
        if n == p:
            return True
        if n % p == 0:
            return False

    d = n - 1
    s = 0
    while d % 2 == 0:
        s += 1
        d //= 2

    def check(a: int) -> bool:
        x = pow(a, d, n)
        if x == 1 or x == n - 1:
            return True
        for _ in range(s - 1):
            x = (x * x) % n
            if x == n - 1:
                return True
        return False

    # Deterministic for n < 2^64
    for a in (2, 325, 9375, 28178, 450775, 9780504, 1795265022):
        if a % n == 0:
            return True
        if not check(a):
            return False
    return True

def prime_fib(n: int):
    assert type(n) == int, ""invalid inputs""
    assert 1 <= n <= 12, ""invalid inputs""

    a, b = 0, 1
    count = 0
    while True:
        a, b = b, a + b
        if a in (2, 3):
            count += 1
            if count == n:
                return a
            continue
        if a % 2 == 0:
            continue
        if _is_probable_prime(a):
            count += 1
            if count == n:
                return a",True,True,True,,pass,pass,10,10,2,2
HumanEval/4,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,mean_absolute_deviation,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    assert all(isinstance(x, float) for x in numbers), ""invalid inputs""  # $_CONTRACT_$
    assert numbers != [], ""invalid inputs""  # $_CONTRACT_$
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)",True,True,True,,pass,pass,3,3,785,785
