audit_id,blind_model_id,benchmark,sample_id,difficulty,db_id,question,evidence,gold_sql,pred_sql,completeness,efficiency,readability,comment
EA-011,M02,bird,bird_1076,challenging,european_football_2,"What is the difference of the average ball control score between Abdou Diallo and Aaron Appindangoye
?","difference of the average ball control = SUBTRACT(AVG(ball_control WHERE player_name = 'Abdou Diallo'), AVG(ball_control WHERE player_name = 'Aaron Appindangoye')); AVG(ball_control WHERE player_name = 'XX XX') = SUM(CASE WHEN player_name = 'XX XX' THEN ball_control ELSE 0 END) / COUNT(CASE WHEN player_name = 'XX XX' THEN id ELSE NULL END)",SELECT CAST(SUM(CASE WHEN t1.player_name = 'Abdou Diallo' THEN t2.ball_control ELSE 0 END) AS REAL) / COUNT(CASE WHEN t1.player_name = 'Abdou Diallo' THEN t2.id ELSE NULL END) - CAST(SUM(CASE WHEN t1.player_name = 'Aaron Appindangoye' THEN t2.ball_control ELSE 0 END) AS REAL) / COUNT(CASE WHEN t1.player_name = 'Aaron Appindangoye' THEN t2.id ELSE NULL END) FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id,SELECT (SELECT AVG(pa.ball_control) FROM Player p JOIN Player_Attributes pa ON pa.player_api_id = p.player_api_id WHERE p.player_name = 'Abdou Diallo') - (SELECT AVG(pa.ball_control) FROM Player p JOIN Player_Attributes pa ON pa.player_api_id = p.player_api_id WHERE p.player_name = 'Aaron Appindangoye') AS avg_ball_control_difference,5,5,5,
EA-012,M02,bird,bird_206,challenging,toxicology,What elements are in the TR004_8_9 bond atoms?,TR004_8_9 bond atoms refers to bond_id = 'TR004_8_9';,SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR004_8_9',"SELECT DISTINCT a.element
FROM bond b
JOIN connected c ON c.bond_id = b.bond_id
JOIN atom a ON a.atom_id IN (c.atom_id, c.atom_id2)
WHERE b.bond_id = 'TR004_8_9' OR b.molecule_id = 'TR004_8_9' OR b.bond_type = 'TR004_8_9'",4,3,3,избыточные OR по bond и спорная трактовка атомов связи
EA-013,M02,bird,bird_397,moderate,card_games,"What is the mana cost of cards with a normal layout, a 2003 frame version, with a black border color, and available in paper and mtgo?","available in paper and mtgo refers to availability = 'mtgo,paper'; frameVersion = 2003;borderColor = 'black'","SELECT manaCost FROM cards WHERE availability = 'mtgo,paper' AND borderColor = 'black' AND frameVersion = 2003 AND layout = 'normal'",SELECT manaCost FROM cards WHERE layout = 'normal' AND frameVersion = '2003' AND borderColor = 'black' AND availability LIKE '%paper%' AND availability LIKE '%mtgo%',4,4,5,"LIKE по availability менее строгий, чем точное значение"
EA-014,M02,bird,bird_942,moderate,formula_1,What is the average fastest lap time in seconds for Lewis Hamilton in all the Formula_1 races?,average fastest lap time = avg(fastestLapTime); The time is recorded on 'MM:SS.mmm',"SELECT AVG(CAST(SUBSTR(T2.fastestLapTime, 1, INSTR(T2.fastestLapTime, ':') - 1) AS INTEGER) * 60 + CAST(SUBSTR(T2.fastestLapTime, INSTR(T2.fastestLapTime, ':') + 1) AS REAL)) FROM drivers AS T1 INNER JOIN results AS T2 ON T1.driverId = T2.driverId WHERE T1.surname = 'Hamilton' AND T1.forename = 'Lewis'","SELECT AVG(CASE WHEN r.fastestLapTime IS NOT NULL AND r.fastestLapTime <> '' THEN (CAST(substr(r.fastestLapTime,1,instr(r.fastestLapTime,':')-1) AS REAL)*60.0 + CAST(substr(r.fastestLapTime,instr(r.fastestLapTime,':')+1) AS REAL)) END) AS avg_fastest_lap_seconds FROM results r JOIN drivers d ON d.driverId = r.driverId WHERE d.forename = 'Lewis' AND d.surname = 'Hamilton' AND r.fastestLapTime IS NOT NULL AND r.fastestLapTime <> ''",5,4,4,дублирующая фильтрация NULL/пустых fastestLapTime
EA-015,M02,bird,bird_1311,moderate,thrombosis_prediction,How many patients with severe thrombosis have a normal prothrombin time?,severe thrombosis refers to Thrombosis = 2 or 1; normal prothrombin time refers to PT < 14;,SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T1.ID = T3.ID WHERE T2.PT < 14 AND T3.Thrombosis < 3 AND T3.Thrombosis > 0,"SELECT COUNT(DISTINCT e.ID) AS patient_count
FROM Examination e
JOIN Laboratory l ON l.ID = e.ID
WHERE e.Thrombosis = 1
  AND l.PT BETWEEN 10 AND 14",2,4,4,Thrombosis учитывает только 1 вместо 1 или 2; PT BETWEEN 10 AND 14 вместо PT < 14
EA-016,M02,bird,bird_1374,simple,student_club,"How many events did the member with the phone number ""954-555-6240"" attend?",,SELECT COUNT(T2.link_to_event) FROM member AS T1 INNER JOIN attendance AS T2 ON T1.member_id = T2.link_to_member WHERE T1.phone = '954-555-6240',SELECT COUNT(*) AS events_attended FROM attendance a JOIN member m ON m.member_id = a.link_to_member WHERE m.phone = '954-555-6240',5,5,5,
EA-017,M02,bird,bird_885,simple,formula_1,State the name and date of the last round of race in year 1999.,the last round refers to max(round);,"SELECT name, date FROM races WHERE year = 1999 ORDER BY round DESC LIMIT 1","SELECT name, date FROM races WHERE year = 1999 ORDER BY round DESC LIMIT 1",5,5,5,
EA-018,M02,bird,bird_795,simple,superhero,How many superheroes have a neutral alignment?,neutral alignment refers to alignment_id = 3;,SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN alignment AS T2 ON T1.alignment_id = T2.id WHERE T2.alignment = 'Neutral',SELECT COUNT(*) AS superhero_count FROM superhero s JOIN alignment a ON s.alignment_id = a.id WHERE a.alignment = 'Neutral',5,5,5,
EA-019,M02,bird,bird_545,simple,codebase_community,"Among the posts owned by csgillespie, how many of them are root posts?","""csgillespie"" is the DisplayName of user; root post refers to ParentId IS Null",SELECT COUNT(T1.Id) FROM posts AS T1 INNER JOIN users AS T2 ON T1.OwnerUserId = T2.Id WHERE T2.DisplayName = 'csgillespie' AND T1.ParentId IS NULL,SELECT COUNT(*) AS RootPostCount FROM posts p JOIN users u ON u.Id = p.OwnerUserId WHERE u.DisplayName = 'csgillespie' AND p.ParentId IS NULL,5,5,5,
EA-020,M02,bird,bird_1176,simple,thrombosis_prediction,What was the anti-nucleus antibody concentration level for the patient id 3605340 on 1996/12/2?,anti-nucleus antibody refers to ANA; 1996/12/2 refers to `Examination Date` = '1996-12-02',SELECT ANA FROM Examination WHERE ID = 3605340 AND `Examination Date` = '1996-12-02',SELECT ANA FROM Examination WHERE ID = 3605340 AND `Examination Date` = '1996-12-02',5,5,5,
EA-021,M03,bird,bird_1429,challenging,student_club,What is the name of the social event that was attended by the vice president of the Student_Club located at 900 E. Washington St.?,name of social event refers to event_name where type = 'Social'; 'Vice President' is position; located at refers to location,SELECT T2.event_name FROM attendance AS T1 INNER JOIN event AS T2 ON T2.event_id = T1.link_to_event INNER JOIN member AS T3 ON T1.link_to_member = T3.member_id WHERE T3.position = 'Vice President' AND T2.location = '900 E. Washington St.' AND T2.type = 'Social',SELECT e.event_name FROM event e JOIN attendance a ON e.event_id = a.link_to_event JOIN member m ON a.link_to_member = m.member_id WHERE LOWER(m.position) = 'vice president' AND LOWER(e.type) = 'social' AND LOWER(e.location) = '900 e. washington st.',5,4,4,LOWER по колонкам может мешать индексам
EA-022,M03,bird,bird_322,challenging,toxicology,What is the element of toxicology for the atom with the ID of TR000_1?,"atom with ID refers to atom_id; element = 'cl' means Chlorine; element = 'c' means Carbon; element = 'h' means Hydrogen; element = 'o' means Oxygen, element = 's' means Sulfur; element = 'n' means Nitrogen, element = 'p' means Phosphorus, element = 'na' means Sodium, element = 'br' means Bromine, element = 'f' means Fluorine; element = 'i' means Iodine; element = 'sn' means Tin; element = 'pb' means Lead; element = 'te' means Tellurium; element = 'ca' means Calcium",SELECT T.element FROM atom AS T WHERE T.atom_id = 'TR000_1',SELECT a.element FROM atom a WHERE a.atom_id = 'TR000_1',5,5,5,
EA-023,M03,bird,bird_1405,moderate,student_club,Calculate the amount budgeted for 'April Speaker' event. List all the budgeted categories for said event in an ascending order based on their amount budgeted.,'April Speaker' is an event name; amount budgeted refers to SUM(amount); budget categories refers to category,"SELECT T2.category, SUM(T2.amount) FROM event AS T1 JOIN budget AS T2 ON T1.event_id = T2.link_to_event WHERE T1.event_name = 'April Speaker' GROUP BY T2.category ORDER BY SUM(T2.amount) ASC","SELECT b.category, SUM(b.amount) AS total_amount FROM budget b JOIN event e ON b.link_to_event = e.event_id WHERE LOWER(e.event_name) = 'april speaker' GROUP BY b.category ORDER BY total_amount ASC",5,4,5,LOWER по event_name может мешать индексам
EA-024,M03,bird,bird_243,moderate,toxicology,What are the bonds that have phosphorus and nitrogen as their atom elements?,have phosphorus as atom elements refers to element = 'p'; have nitrogen as atom elements refers to element = 'n',SELECT T2.bond_id FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id IN ( SELECT T3.bond_id FROM connected AS T3 INNER JOIN atom AS T4 ON T3.atom_id = T4.atom_id WHERE T4.element = 'p' ) AND T1.element = 'n',SELECT DISTINCT b.bond_id FROM bond b JOIN connected c ON b.bond_id = c.bond_id JOIN atom a1 ON c.atom_id = a1.atom_id JOIN atom a2 ON c.atom_id2 = a2.atom_id WHERE (a1.element = 'p' AND a2.element = 'n') OR (a1.element = 'n' AND a2.element = 'p'),5,4,4,"более специфичная проверка концов связи, но немного тяжелее"
EA-025,M03,bird,bird_707,moderate,codebase_community,"Among the posts with views ranging from 100 to 150, what is the comment with the highest score?",views ranging from 100 to 150 refers to ViewCount BETWEEN 100 and 150; comment with the highest score refers to Text where MAX(Score);,SELECT Text FROM comments WHERE PostId IN ( SELECT Id FROM posts WHERE ViewCount BETWEEN 100 AND 150 ) ORDER BY Score DESC LIMIT 1,SELECT c.Text FROM comments c JOIN posts p ON c.PostId = p.Id WHERE p.ViewCount BETWEEN 100 AND 150 ORDER BY c.Score DESC LIMIT 1,5,5,5,
EA-026,M03,bird,bird_735,simple,superhero,How many superheroes with blonde hair are there?,superheroes with blonde hair refers to colour = 'Blond' where hair_colour_id = colour.id,SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.hair_colour_id = T2.id WHERE T2.colour = 'Blond',SELECT COUNT(*) FROM superhero s WHERE s.hair_colour_id IN (SELECT id FROM colour WHERE colour.colour = 'Blond'),5,5,5,
EA-027,M03,bird,bird_316,simple,toxicology,"Among the molecules which contain ""c"" element, which of them are not carcinogenic?",label = '-' means molecules are non-carcinogenic,SELECT DISTINCT T1.molecule_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'c' AND T2.label = '-',SELECT DISTINCT m.molecule_id FROM molecule m JOIN atom a ON m.molecule_id = a.molecule_id WHERE LOWER(a.element) = 'c' AND m.label = '-' ORDER BY m.molecule_id NULLS LAST,5,4,4,лишняя сортировка результата
EA-028,M03,bird,bird_574,simple,codebase_community,Which user has the website URL listed at 'http://stackoverflow.com',"""http://stackoverflow.com"" is the WebsiteUrl; user refers to DisplayName",SELECT DisplayName FROM users WHERE WebsiteUrl = 'http://stackoverflow.com',SELECT u.DisplayName FROM users u WHERE LOWER(u.WebsiteUrl) = 'http://stackoverflow.com',4,4,4,LOWER делает сравнение URL менее строгим и может мешать индексу
EA-029,M03,bird,bird_1355,simple,student_club,"Where is the hometown state for ""Sacha Harrison""?",hometown state refers to state;,SELECT T2.state FROM member AS T1 INNER JOIN zip_code AS T2 ON T1.zip = T2.zip_code WHERE T1.first_name = 'Sacha' AND T1.last_name = 'Harrison',SELECT z.state FROM member m JOIN zip_code z ON m.zip = z.zip_code WHERE LOWER(m.last_name) = 'harrison' AND LOWER(m.first_name) = 'sacha',5,4,4,LOWER по именам может мешать индексам
EA-030,M03,bird,bird_404,simple,card_games,Indicates the name of all the languages into which the set whose number of cards is 309 is translated.,set refer to setCode; number of cards refers to baseSetSize; baseSetsize = 309,SELECT T2.language FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T1.baseSetSize = 309,SELECT st.language FROM set_translations st JOIN sets s ON st.setCode = s.code WHERE s.baseSetSize = 309,5,5,5,
EA-031,M04,bird,bird_212,challenging,toxicology,Which element is the least numerous in non-carcinogenic molecules?,label = '-' means molecules are non-carcinogenic; least numerous refers to MIN(COUNT(element));,"SELECT T.element FROM (SELECT T1.element, COUNT(DISTINCT T1.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '-' GROUP BY T1.element ORDER BY COUNT(DISTINCT T1.molecule_id) ASC LIMIT 1) t",SELECT element FROM atom WHERE molecule_id IN (SELECT molecule_id FROM molecule WHERE label = '-') GROUP BY element ORDER BY COUNT(element) ASC LIMIT 1,3,4,4,"считает атомы, а не distinct molecule_id; семантика отличается от подсказки"
EA-032,M04,bird,bird_1194,challenging,thrombosis_prediction,"What sex is the patient who in a medical examination was diagnosed with PSS and in a laboratory examination had a blood level of C-reactive protein de 2+, createnine 1 and LDH 123?",PSS' refers to diagnosis; blood level of C-reactive protein de 2+refers to CRP > 2; createnine 1 refers to CRE = 1; LDH 123 refers to LDH = 123,SELECT T1.SEX FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID INNER JOIN Laboratory AS T3 ON T3.ID = T2.ID WHERE T2.Diagnosis = 'PSS' AND T3.CRP = '2+' AND T3.CRE = 1.0 AND T3.LDH = 123,SELECT P.SEX FROM Patient P JOIN Examination E ON P.ID = E.ID JOIN Laboratory L ON P.ID = L.ID WHERE E.Diagnosis = 'PSS' AND L.CRP > 2 AND L.CRE = 1 AND L.LDH = 123,2,4,4,CRP > 2 неверно для значения вида 2+; должно быть CRP = 2+
EA-033,M04,bird,bird_830,moderate,superhero,Identify the weakest attribute of the Black Panther.,weakest attribute refers to attribute_name WHERE MIN(attribute_value); Black Panther refers to superhero_name = 'Black Panther';,SELECT T3.attribute_name FROM superhero AS T1 INNER JOIN hero_attribute AS T2 ON T1.id = T2.hero_id INNER JOIN attribute AS T3 ON T2.attribute_id = T3.id WHERE T1.superhero_name = 'Black Panther' ORDER BY T2.attribute_value ASC LIMIT 1,SELECT attribute_name FROM hero_attribute hh INNER JOIN attribute a ON hh.attribute_id = a.id WHERE hh.hero_id IN (SELECT id FROM superhero WHERE superhero_name = 'Black Panther') ORDER BY attribute_value LIMIT 1,5,5,5,
EA-034,M04,bird,bird_151,moderate,financial,Please list the name of the districts with accounts that made withdrawal transactions.,A2 refers to district name; type = 'VYDAJ' stands for withdrawal transactions,SELECT DISTINCT T1.A2 FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.type = 'VYDAJ',SELECT d.A2 FROM district d JOIN account a ON d.district_id = a.district_id JOIN trans t ON a.account_id = t.account_id WHERE t.type = 'VYDAJ' GROUP BY d.A2,5,5,5,
EA-035,M04,bird,bird_657,moderate,codebase_community,"Under the vote type of 8, provide the display names and websites URLs of the user who got the highest bounty amount.",vote type of 8 refers to VoteTypeId = 8; the highest bounty amount refers to MAX(BountyAmount);,"SELECT DisplayName, WebsiteUrl FROM users WHERE Id = ( SELECT UserId FROM votes WHERE VoteTypeId = 8 ORDER BY BountyAmount DESC LIMIT 1 )","SELECT u.DisplayName, u.WebsiteUrl FROM users u JOIN votes v ON u.Id = v.UserId WHERE v.VoteTypeId = 8 AND v.BountyAmount = (SELECT MAX(v2.BountyAmount) FROM votes v2 WHERE v2.VoteTypeId = 8)",4,4,4,"возвращает все tie по MAX, тогда как эталон выбирает одну строку"
EA-036,M04,bird,bird_605,simple,codebase_community,"How many users obtained the ""Announcer"" badge?","""Announcer"" is the Name of badge; user refers to UserId",SELECT COUNT(id) FROM badges WHERE Name = 'Announcer',SELECT COUNT(*) FROM users u JOIN badges b ON u.Id = b.UserId WHERE b.Name = 'Announcer',4,4,4,"считает строки badge-user; если у пользователя несколько badge, users будет завышено"
EA-037,M04,bird,bird_121,simple,financial,List account ID and account opening date for accounts from 'Prachatice'.,A2 refers to the names of districts.,"SELECT T1.account_id, T1.date FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Prachatice'","SELECT account_id, date FROM account WHERE district_id IN (SELECT district_id FROM district WHERE A2 = 'Prachatice')",5,5,5,
EA-038,M04,bird,bird_1343,simple,student_club,"With the biggest budget for the ""Food"", what was the remaining of it?","remaining of budget refers to remaining, biggest budget for 'Food' refers to MAX(budget.amount) where category = 'Food'",SELECT remaining FROM budget WHERE category = 'Food' AND amount = ( SELECT MAX(amount) FROM budget WHERE category = 'Food' ),SELECT b.remaining FROM budget b WHERE b.category = 'Food' AND b.amount = (SELECT MAX(b2.amount) FROM budget b2 WHERE b2.category = 'Food'),5,5,5,
EA-039,M04,bird,bird_1495,simple,debit_card_specializing,Which client ID consumed the most in September 2013?,September 2013 refers to yearmonth.date = '201309',SELECT T1.CustomerID FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Date = '201309' GROUP BY T1.CustomerID ORDER BY SUM(T2.Consumption) DESC LIMIT 1,SELECT c.CustomerID FROM customers c JOIN yearmonth ym ON c.CustomerID = ym.CustomerID WHERE ym.Date = '201309' GROUP BY c.CustomerID ORDER BY SUM(ym.Consumption) DESC LIMIT 1,5,5,5,
EA-040,M04,bird,bird_946,simple,formula_1,Please list the location coordinates of the US circuits.,"location coordinates refers to (lat, lng); the US refers to country = 'USA';","SELECT lat, lng FROM circuits WHERE country = 'USA'","SELECT c.lat, c.lng FROM circuits c WHERE c.country = 'USA'",5,5,5,
EA-041,M05,bird,bird_760,challenging,superhero,"In superheroes with height between 150 to 180, what is the percentage of heroes published by Marvel Comics?","height between 150 to 180 refers to height_cm BETWEEN 150 AND 180; heroes published by Marvel Comics refers to publisher_name = 'Marvel Comics'; calculation = MULTIPLY(DIVIDE(SUM(publisher.id = 13)), COUNT(publisher.id), 100)",SELECT CAST(COUNT(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T1.height_cm BETWEEN 150 AND 180,"SELECT 
    (SUM(CASE WHEN p.publisher_name = 'Marvel Comics' THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS percentage_marvel
FROM 
    superhero s
JOIN 
    publisher p ON s.publisher_id = p.id
WHERE 
    s.height_cm BETWEEN 150 AND 180",5,5,5,
EA-042,M05,bird,bird_330,challenging,toxicology,Calculate the percentage of carcinogenic molecules with triple bonded Hidrogen atoms.,"hydrogen refers to element = 'h'; label = '+' mean molecules are carcinogenic; triple bond refers to bond_type = '#'; percentage = DIVIDE(SUM(label = '+'), COUNT(molecule_id)) * 100.0 where element = 'h' AND bond_type = '#';",SELECT CAST(SUM(CASE WHEN T1.label = '+' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(DISTINCT T1.molecule_id) FROM molecule AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T1.molecule_id = T3.molecule_id WHERE T3.bond_type = '#' AND T2.element = 'h',"SELECT 
    CAST(SUM(CASE WHEN m.label = '+' THEN 1 ELSE 0 END) AS REAL) * 100.0 / COUNT(DISTINCT m.molecule_id) AS percentage_carcinogenic_molecules
FROM molecule m
JOIN atom a ON m.molecule_id = a.molecule_id
JOIN bond b ON m.molecule_id = b.molecule_id
WHERE a.element = 'h' AND b.bond_type = '#'",3,4,4,числитель может дублировать молекулы из-за JOIN atom/bond; denominator distinct
EA-043,M05,bird,bird_782,moderate,superhero,List the heroes' names whose eyes and hair colours are both black.,heroes' names refers to superhero_name; eyes and hair colours are both black refers to eye_colour_id AND hair_colour_id WHERE colour.colour = 'Black';,SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id AND T1.hair_colour_id = T2.id WHERE T2.colour = 'Black',"SELECT s.superhero_name 
FROM superhero AS s
JOIN colour AS c_eye ON s.eye_colour_id = c_eye.id
JOIN colour AS c_hair ON s.hair_colour_id = c_hair.id
WHERE c_eye.colour = 'Black' AND c_hair.colour = 'Black'",5,4,5,"два JOIN к colour читаемы, но тяжелее эталонного варианта"
EA-044,M05,bird,bird_940,moderate,formula_1,"Among the drivers that finished the race in the 2008 Chinese Grand Prix, how many of them have participated in Formula_1 races?",COUNT(raceID) > 0 reveals that this driver participated in races; drivers who finished the race refers to time has value.,SELECT COUNT(*) FROM ( SELECT T1.driverId FROM results AS T1 INNER JOIN races AS T2 on T1.raceId = T2.raceId WHERE T2.name = 'Chinese Grand Prix' AND T2.year = 2008 AND T1.time IS NOT NULL GROUP BY T1.driverId HAVING COUNT(T2.raceId) > 0 ),"SELECT COUNT(DISTINCT r.driverId)
FROM results AS r
JOIN races AS ra ON r.raceId = ra.raceId
WHERE ra.year = 2008 AND ra.name = 'Chinese Grand Prix' AND r.time IS NOT NULL",5,5,5,
